call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
501,748-938-9285,788-947-6027,3/27/2017 4:08,3/27/2017 4:56,outgoing
502,216-732-0449,990-255-2170,2/3/2019 14:01,2/3/2019 14:24,outgoing
503,990-255-2170,947-601-2803,4/9/2018 9:48,4/9/2018 9:48,missed call
504,148-346-8847,939-704-5084,6/27/2018 0:16,6/27/2018 0:52,incoming
505,216-732-0449,939-704-5084,8/16/2018 23:30,8/16/2018 23:44,incoming
506,748-938-9285,216-732-0449,3/18/2019 11:57,3/18/2019 11:57,missed call
507,216-732-0449,990-255-2170,5/15/2017 16:37,5/15/2017 16:45,incoming
508,148-346-8847,396-909-1708,2/25/2019 10:25,2/25/2019 10:25,missed call
509,990-255-2170,583-139-1032,2/14/2018 3:37,2/14/2018 3:37,missed call
510,583-139-1032,748-938-9285,11/24/2018 19:05,11/24/2018 19:51,incoming
511,396-909-1708,947-601-2803,10/9/2017 13:28,10/9/2017 14:08,incoming
512,990-255-2170,148-346-8847,11/21/2017 17:21,11/21/2017 17:26,outgoing
513,396-909-1708,748-938-9285,7/23/2017 23:08,7/23/2017 23:08,missed call
514,826-275-4326,939-704-5084,4/8/2019 23:02,4/8/2019 23:48,outgoing
515,583-139-1032,396-909-1708,5/12/2019 9:02,5/12/2019 9:12,outgoing
516,788-947-6027,396-909-1708,3/10/2018 0:03,3/10/2018 0:03,missed call
517,947-601-2803,788-947-6027,2/25/2018 14:50,2/25/2018 15:47,outgoing
518,583-139-1032,939-704-5084,7/19/2017 10:44,7/19/2017 11:26,outgoing
519,939-704-5084,990-255-2170,10/4/2018 0:21,10/4/2018 0:21,missed call
520,788-947-6027,396-909-1708,6/18/2018 14:34,6/18/2018 15:22,outgoing
521,216-732-0449,947-601-2803,1/14/2018 18:21,1/14/2018 19:01,incoming
522,939-704-5084,748-938-9285,6/21/2018 22:40,6/21/2018 23:11,outgoing
523,396-909-1708,583-139-1032,2/1/2017 1:25,2/1/2017 2:22,incoming
524,990-255-2170,583-139-1032,12/21/2018 19:08,12/21/2018 19:45,incoming
525,947-601-2803,939-704-5084,12/7/2017 22:40,12/7/2017 22:40,missed call
526,748-938-9285,939-704-5084,4/14/2017 15:08,4/14/2017 16:03,outgoing
527,148-346-8847,939-704-5084,1/24/2018 7:55,1/24/2018 7:55,missed call
528,216-732-0449,788-947-6027,12/27/2017 6:22,12/27/2017 6:22,missed call
529,939-704-5084,788-947-6027,9/9/2018 9:47,9/9/2018 9:47,missed call
530,148-346-8847,990-255-2170,4/25/2018 8:42,4/25/2018 8:42,missed call
531,990-255-2170,396-909-1708,7/7/2018 21:12,7/7/2018 21:38,outgoing
532,216-732-0449,788-947-6027,5/18/2019 1:30,5/18/2019 1:30,missed call
533,947-601-2803,788-947-6027,1/6/2019 5:05,1/6/2019 5:05,missed call
534,148-346-8847,947-601-2803,7/14/2018 21:32,7/14/2018 21:32,missed call
535,216-732-0449,396-909-1708,1/1/2019 6:15,1/1/2019 6:56,incoming
536,826-275-4326,583-139-1032,4/19/2017 20:25,4/19/2017 20:58,outgoing
537,583-139-1032,748-938-9285,1/24/2017 7:11,1/24/2017 7:11,missed call
538,788-947-6027,583-139-1032,2/16/2019 16:46,2/16/2019 17:27,incoming
539,826-275-4326,947-601-2803,1/16/2019 7:42,1/16/2019 7:42,missed call
540,148-346-8847,990-255-2170,4/6/2017 22:17,4/6/2017 22:17,missed call
541,148-346-8847,826-275-4326,11/23/2018 4:58,11/23/2018 5:57,outgoing
542,939-704-5084,826-275-4326,4/15/2018 3:15,4/15/2018 3:56,incoming
543,402-195-0411,928-557-7876,2/17/2017 20:18,2/17/2017 20:18,missed call
544,850-366-8818,847-520-1926,2/22/2018 8:45,2/22/2018 9:01,outgoing
545,800-140-3775,467-340-2943,4/11/2019 17:30,4/11/2019 17:30,missed call
546,836-978-6017,402-195-0411,7/11/2018 17:05,7/11/2018 17:45,outgoing
547,800-140-3775,618-131-0100,11/1/2017 8:23,11/1/2017 8:27,incoming
548,847-520-1926,618-131-0100,3/25/2019 5:35,3/25/2019 6:21,outgoing
549,836-978-6017,780-660-7356,7/15/2017 0:27,7/15/2017 1:07,incoming
550,800-140-3775,467-340-2943,8/2/2018 18:34,8/2/2018 18:34,missed call
551,850-366-8818,800-140-3775,10/30/2018 18:57,10/30/2018 19:05,incoming
552,800-140-3775,750-602-5075,5/24/2019 16:50,5/24/2019 17:24,incoming
553,928-557-7876,618-131-0100,2/28/2019 14:09,2/28/2019 14:23,outgoing
554,750-602-5075,850-366-8818,8/20/2017 0:52,8/20/2017 1:22,outgoing
555,800-140-3775,618-131-0100,1/6/2017 21:37,1/6/2017 21:48,outgoing
556,928-557-7876,750-602-5075,5/16/2018 0:37,5/16/2018 1:13,incoming
557,928-557-7876,850-366-8818,4/25/2019 18:46,4/25/2019 18:53,incoming
558,780-660-7356,402-195-0411,7/10/2018 2:07,7/10/2018 2:09,outgoing
559,928-557-7876,850-366-8818,2/21/2017 21:07,2/21/2017 21:39,incoming
560,928-557-7876,847-520-1926,5/4/2017 20:05,5/4/2017 20:50,outgoing
561,402-195-0411,750-602-5075,3/31/2018 19:20,3/31/2018 19:25,outgoing
562,800-140-3775,928-557-7876,10/28/2018 0:54,10/28/2018 1:17,incoming
563,836-978-6017,928-557-7876,8/16/2018 19:30,8/16/2018 20:27,incoming
564,836-978-6017,928-557-7876,12/7/2017 3:43,12/7/2017 4:20,outgoing
565,836-978-6017,928-557-7876,5/14/2019 6:32,5/14/2019 6:32,missed call
566,800-140-3775,780-660-7356,3/14/2018 21:34,3/14/2018 21:51,outgoing
567,780-660-7356,928-557-7876,1/28/2018 5:47,1/28/2018 5:47,missed call
568,928-557-7876,467-340-2943,11/4/2018 15:18,11/4/2018 15:35,incoming
569,750-602-5075,836-978-6017,6/15/2018 3:47,6/15/2018 4:16,outgoing
570,467-340-2943,836-978-6017,10/22/2017 0:31,10/22/2017 0:31,missed call
571,750-602-5075,402-195-0411,2/1/2018 16:28,2/1/2018 16:41,incoming
