call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
401,725-415-6951,266-359-0293,11/19/2018 15:44,11/19/2018 16:20,incoming
402,690-105-8381,102-962-5125,2/27/2017 6:07,2/27/2017 6:07,missed call
403,353-760-5645,690-105-8381,6/8/2018 6:59,6/8/2018 7:20,incoming
404,353-760-5645,844-626-7152,10/22/2017 9:46,10/22/2017 10:06,incoming
405,527-692-9334,126-285-8913,12/9/2017 5:51,12/9/2017 6:03,incoming
406,126-285-8913,527-692-9334,4/8/2019 12:34,4/8/2019 12:36,outgoing
407,844-626-7152,353-760-5645,5/23/2018 10:03,5/23/2018 10:13,incoming
408,690-105-8381,126-285-8913,1/8/2018 8:32,1/8/2018 8:55,outgoing
409,353-760-5645,266-359-0293,2/8/2019 0:08,2/8/2019 0:08,missed call
410,725-415-6951,844-626-7152,7/25/2017 3:26,7/25/2017 3:47,outgoing
411,797-327-4834,410-685-9374,9/26/2018 5:55,9/26/2018 6:28,incoming
412,797-327-4834,725-415-6951,4/20/2017 11:16,4/20/2017 12:16,incoming
413,527-692-9334,126-285-8913,8/21/2017 10:53,8/21/2017 10:53,missed call
414,527-692-9334,126-285-8913,10/21/2017 3:25,10/21/2017 3:25,missed call
415,266-359-0293,690-105-8381,8/19/2017 7:10,8/19/2017 7:14,outgoing
416,690-105-8381,126-285-8913,4/14/2017 20:50,4/14/2017 21:10,incoming
417,725-415-6951,353-760-5645,12/3/2018 23:59,12/4/2018 0:16,outgoing
418,527-692-9334,266-359-0293,5/17/2017 9:01,5/17/2017 9:21,outgoing
419,126-285-8913,102-962-5125,4/18/2017 18:23,4/18/2017 18:49,outgoing
420,353-760-5645,690-105-8381,3/31/2018 2:19,3/31/2018 2:58,outgoing
421,844-626-7152,266-359-0293,12/2/2018 5:29,12/2/2018 5:29,missed call
422,410-685-9374,527-692-9334,11/9/2018 14:01,11/9/2018 14:36,incoming
423,410-685-9374,353-760-5645,4/10/2017 8:38,4/10/2017 8:38,missed call
424,725-415-6951,126-285-8913,6/18/2018 4:51,6/18/2018 5:23,incoming
425,844-626-7152,102-962-5125,2/23/2018 15:57,2/23/2018 15:57,missed call
426,353-760-5645,126-285-8913,4/13/2019 7:34,4/13/2019 8:26,outgoing
427,410-685-9374,844-626-7152,8/19/2018 12:08,8/19/2018 12:53,outgoing
428,725-415-6951,527-692-9334,2/14/2018 2:54,2/14/2018 3:10,outgoing
429,844-626-7152,126-285-8913,1/26/2019 2:58,1/26/2019 3:54,outgoing
430,690-105-8381,410-685-9374,12/18/2017 9:03,12/18/2017 9:03,missed call
431,266-359-0293,690-105-8381,12/29/2018 14:20,12/29/2018 14:59,incoming
432,410-685-9374,844-626-7152,10/31/2017 20:56,10/31/2017 21:29,outgoing
433,266-359-0293,725-415-6951,7/14/2018 19:21,7/14/2018 20:06,incoming
434,353-760-5645,102-962-5125,12/27/2018 0:30,12/27/2018 0:30,missed call
435,126-285-8913,690-105-8381,12/15/2018 11:25,12/15/2018 12:14,outgoing
436,126-285-8913,725-415-6951,4/9/2019 0:23,4/9/2019 0:30,incoming
437,527-692-9334,797-327-4834,10/20/2018 5:43,10/20/2018 6:12,incoming
