customer_id,first_name,last_name,email_id,gender,birthdate,street_address,zipcode,city,state,phone_number,active
26,Bary,Atcherley,batcherleyp@meetup.com,Male,6/20/2005,8393 Debra Lane,11447,Jamaica,New York,797-683-8500,FALSE
27,Serge,Caskey,scaskeyq@nsw.gov.au,Male,4/13/1977,411 Hoard Road,33158,Miami,Florida,422-733-0037,TRUE
28,Patten,Anscombe,panscomber@comsenz.com,Male,6/15/1947,7680 Dakota Circle,99205,Spokane,Washington,320-924-6906,TRUE
29,Rudolf,Farron,rfarrons@naver.com,Male,1/29/1976,44895 Fulton Center,33805,Lakeland,Florida,209-935-3693,TRUE
30,Gwendolen,Mersh,gmersht@mozilla.org,Female,10/4/2000,95386 Mcguire Terrace,40515,Lexington,Kentucky,825-843-6648,TRUE
31,Raoul,Bothen,rbothenu@addtoany.com,Male,12/16/1990,5040 Caliangt Circle,35805,Huntsville,Alabama,757-336-8759,TRUE
32,Jacinda,Merwede,jmerwedev@sina.com.cn,Female,6/1/1972,0 Riverside Plaza,55423,Minneapolis,Minnesota,957-659-2812,TRUE
33,Peria,Phlipon,pphliponw@csmonitor.com,Female,2/19/2006,9 Maple Pass,60208,Evanston,Illinois,381-589-4551,TRUE
34,Dimitry,Davey,ddaveyx@skyrock.com,Male,6/9/1961,100 Magdeline Circle,34276,Sarasota,Florida,426-342-4940,TRUE
35,Waldemar,Naldrett,wnaldretty@constantcontact.com,Male,9/19/2008,5177 Farragut Crossing,61709,Bloomington,Illinois,437-443-4548,FALSE
36,Randy,Dalli,rdalliz@meetup.com,Male,9/2/1975,625 Scott Point,2216,Boston,Massachusetts,931-318-8690,TRUE
37,Diandra,Alliot,dalliot10@whitehouse.gov,Female,12/9/1946,4 Steensland Alley,95160,San Jose,California,424-338-1888,TRUE
38,Estele,Soars,esoars11@tinyurl.com,Female,7/26/1977,76394 Green Ridge Alley,30195,Duluth,Georgia,899-184-9861,TRUE
39,Davine,Pimer,dpimer12@webeden.co.uk,Female,4/2/2008,38821 Onsgard Trail,73157,Oklahoma City,Oklahoma,675-142-2320,TRUE
40,Arron,Dodwell,adodwell13@admin.ch,Male,5/22/1951,1539 Forest Dale Lane,83206,Pocatello,Idaho,399-798-9107,TRUE
41,Maribel,Dews,mdews14@alibaba.com,Female,3/28/1992,872 Del Sol Trail,19805,Wilmington,Delaware,797-327-4834,TRUE
42,Catherine,Skaid,cskaid15@geocities.jp,Female,10/19/1940,313 Kinsman Center,80045,Aurora,Colorado,527-692-9334,FALSE
43,Chevy,Johnes,cjohnes16@hexun.com,Male,10/11/1981,8 Rutledge Avenue,35487,Tuscaloosa,Alabama,844-626-7152,TRUE
44,Dewitt,Sabater,dsabater17@sciencedaily.com,Male,7/12/1947,7 Talmadge Pass,90045,Los Angeles,California,690-105-8381,TRUE
45,Shanie,Selwyn,sselwyn18@amazon.co.jp,Female,3/4/1957,5584 Union Terrace,85053,Phoenix,Arizona,126-285-8913,TRUE
46,Hort,McCarroll,hmccarroll19@unblog.fr,Male,11/8/2007,3 Pennsylvania Alley,28284,Charlotte,North Carolina,410-685-9374,TRUE
47,Micheline,Dodding,mdodding1a@amazon.de,Female,4/7/1974,8 Bunting Place,47712,Evansville,Indiana,266-359-0293,FALSE
48,Leone,Catlow,lcatlow1b@icio.us,Female,5/5/1944,87650 Northfield Terrace,95405,Santa Rosa,California,102-962-5125,TRUE
49,Del,Dilawey,ddilawey1c@google.ca,Female,8/3/1988,6191 Esker Pass,35231,Birmingham,Alabama,353-760-5645,TRUE
50,Kylen,O'Hanley,kohanley1d@admin.ch,Female,10/12/1991,612 Lillian Court,85720,Tucson,Arizona,725-415-6951,TRUE
