call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
201,422-733-0037,320-924-6906,4/2/2018 9:50,4/2/2018 9:50,missed call
202,802-596-7910,209-935-3693,3/11/2018 3:27,3/11/2018 3:27,missed call
203,802-596-7910,797-683-8500,3/16/2018 15:58,3/16/2018 15:58,missed call
204,422-733-0037,802-596-7910,6/10/2017 5:24,6/10/2017 6:09,incoming
205,422-733-0037,533-355-4316,2/18/2018 9:10,2/18/2018 9:52,incoming
206,422-733-0037,897-101-5964,10/11/2018 8:18,10/11/2018 8:23,outgoing
207,876-406-5867,320-924-6906,7/19/2018 22:11,7/19/2018 22:19,outgoing
208,689-608-1743,533-355-4316,5/7/2019 3:26,5/7/2019 3:54,outgoing
209,797-683-8500,897-101-5964,3/21/2017 15:07,3/21/2017 15:07,missed call
210,320-924-6906,533-355-4316,12/16/2017 3:57,12/16/2017 4:48,outgoing
211,533-355-4316,802-596-7910,3/16/2019 5:40,3/16/2019 6:12,outgoing
212,802-596-7910,533-355-4316,4/29/2018 3:03,4/29/2018 3:03,missed call
213,825-843-6648,320-924-6906,4/12/2018 18:51,4/12/2018 18:51,missed call
214,320-924-6906,209-935-3693,6/21/2018 18:59,6/21/2018 19:01,incoming
215,209-935-3693,897-101-5964,8/25/2017 2:58,8/25/2017 2:58,missed call
216,320-924-6906,897-101-5964,1/6/2017 21:52,1/6/2017 21:52,missed call
217,209-935-3693,876-406-5867,5/21/2017 13:49,5/21/2017 14:40,outgoing
218,422-733-0037,209-935-3693,1/5/2017 1:03,1/5/2017 1:23,incoming
219,876-406-5867,422-733-0037,1/27/2017 22:11,1/27/2017 22:11,missed call
220,802-596-7910,533-355-4316,9/19/2017 14:52,9/19/2017 14:52,missed call
221,320-924-6906,422-733-0037,9/27/2017 14:07,9/27/2017 14:07,missed call
222,689-608-1743,876-406-5867,12/4/2018 19:45,12/4/2018 20:04,incoming
223,825-843-6648,797-683-8500,3/22/2019 17:53,3/22/2019 18:47,incoming
224,320-924-6906,797-683-8500,2/6/2018 10:50,2/6/2018 10:50,missed call
225,802-596-7910,689-608-1743,12/28/2017 1:13,12/28/2017 1:58,incoming
226,876-406-5867,897-101-5964,11/22/2017 20:21,11/22/2017 20:21,missed call
227,533-355-4316,876-406-5867,9/12/2018 12:30,9/12/2018 12:30,missed call
228,797-683-8500,876-406-5867,12/13/2018 1:14,12/13/2018 2:14,outgoing
229,209-935-3693,320-924-6906,2/21/2018 8:26,2/21/2018 9:16,outgoing
230,533-355-4316,825-843-6648,10/25/2018 4:10,10/25/2018 4:34,outgoing
231,320-924-6906,422-733-0037,2/21/2017 20:40,2/21/2017 20:40,missed call
232,320-924-6906,825-843-6648,6/20/2018 13:12,6/20/2018 13:58,outgoing
233,876-406-5867,689-608-1743,4/11/2019 22:25,4/11/2019 22:48,outgoing
234,876-406-5867,689-608-1743,10/6/2017 23:35,10/6/2017 23:47,outgoing
235,209-935-3693,876-406-5867,9/11/2018 19:57,9/11/2018 19:57,missed call
236,825-843-6648,533-355-4316,2/25/2019 22:35,2/25/2019 22:45,outgoing
237,533-355-4316,689-608-1743,3/29/2017 15:37,3/29/2017 16:00,outgoing
238,689-608-1743,802-596-7910,1/14/2019 17:19,1/14/2019 17:49,incoming
239,802-596-7910,876-406-5867,4/12/2019 23:01,4/12/2019 23:21,incoming
240,320-924-6906,897-101-5964,5/24/2017 10:40,5/24/2017 10:40,missed call
241,825-843-6648,533-355-4316,3/2/2019 16:49,3/2/2019 17:29,incoming
242,797-683-8500,533-355-4316,5/24/2018 12:21,5/24/2018 12:21,missed call
