call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
601,847-520-1926,800-140-3775,1/26/2018 11:45,1/26/2018 12:08,incoming
602,800-140-3775,467-340-2943,2/3/2017 3:05,2/3/2017 3:05,missed call
603,850-366-8818,402-195-0411,10/24/2018 23:02,10/24/2018 23:14,outgoing
604,928-557-7876,800-140-3775,11/25/2017 10:47,11/25/2017 11:14,outgoing
605,750-602-5075,850-366-8818,6/21/2018 3:04,6/21/2018 3:04,missed call
606,850-366-8818,402-195-0411,9/26/2017 15:05,9/26/2017 15:05,missed call
607,467-340-2943,847-520-1926,5/26/2017 4:01,5/26/2017 4:48,incoming
608,850-366-8818,618-131-0100,1/7/2017 18:10,1/7/2017 18:10,missed call
609,836-978-6017,850-366-8818,1/8/2018 10:35,1/8/2018 11:12,incoming
610,467-340-2943,402-195-0411,5/29/2018 23:12,5/30/2018 0:12,outgoing
611,928-557-7876,780-660-7356,5/17/2019 9:29,5/17/2019 9:29,missed call
612,850-366-8818,800-140-3775,10/27/2018 15:04,10/27/2018 15:10,outgoing
613,928-557-7876,467-340-2943,6/3/2017 9:04,6/3/2017 9:04,missed call
614,850-366-8818,847-520-1926,7/6/2018 3:25,7/6/2018 3:35,incoming
615,402-195-0411,850-366-8818,6/7/2017 0:43,6/7/2017 0:58,outgoing
616,800-140-3775,850-366-8818,8/4/2017 5:17,8/4/2017 5:17,missed call
617,467-340-2943,847-520-1926,10/10/2017 10:50,10/10/2017 11:31,outgoing
618,847-520-1926,750-602-5075,5/25/2019 8:39,5/25/2019 9:22,incoming
619,800-140-3775,750-602-5075,3/14/2019 13:17,3/14/2019 13:39,incoming
620,847-520-1926,467-340-2943,7/24/2017 12:00,7/24/2017 12:57,outgoing
621,780-660-7356,836-978-6017,3/10/2018 14:27,3/10/2018 14:27,missed call
622,467-340-2943,928-557-7876,3/7/2017 15:45,3/7/2017 16:32,incoming
623,402-195-0411,467-340-2943,5/30/2018 16:57,5/30/2018 17:39,outgoing
624,750-602-5075,928-557-7876,4/19/2019 16:20,4/19/2019 16:55,outgoing
625,928-557-7876,467-340-2943,12/23/2018 18:10,12/23/2018 18:39,incoming
626,618-131-0100,847-520-1926,10/2/2017 3:54,10/2/2017 3:54,missed call
627,847-520-1926,618-131-0100,9/12/2017 14:18,9/12/2017 14:18,missed call
628,928-557-7876,750-602-5075,7/15/2017 6:48,7/15/2017 7:16,incoming
629,467-340-2943,750-602-5075,8/4/2018 7:16,8/4/2018 7:17,outgoing
630,750-602-5075,836-978-6017,1/5/2017 18:49,1/5/2017 19:35,incoming
631,618-131-0100,847-520-1926,2/12/2019 15:02,2/12/2019 15:02,missed call
632,402-195-0411,750-602-5075,11/12/2017 3:32,11/12/2017 3:54,outgoing
633,402-195-0411,750-602-5075,3/12/2017 20:15,3/12/2017 20:24,outgoing
634,618-131-0100,850-366-8818,3/7/2019 5:59,3/7/2019 5:59,missed call
635,850-366-8818,750-602-5075,6/19/2017 18:33,6/19/2017 19:15,outgoing
636,263-435-6327,325-139-4088,8/8/2018 21:32,8/8/2018 21:32,missed call
637,325-139-4088,140-766-7286,7/24/2017 14:49,7/24/2017 15:43,incoming
638,340-659-7071,263-435-6327,2/23/2019 15:29,2/23/2019 15:29,missed call
639,293-776-2788,263-435-6327,2/28/2017 8:43,2/28/2017 9:35,incoming
640,293-776-2788,767-924-6502,1/4/2019 7:13,1/4/2019 7:13,missed call
641,796-387-5648,206-578-3516,6/6/2018 9:12,6/6/2018 9:12,missed call
642,140-766-7286,767-924-6502,2/15/2017 21:58,2/15/2017 21:58,missed call
643,325-139-4088,340-659-7071,12/5/2018 15:08,12/5/2018 15:08,missed call
644,206-578-3516,982-776-6449,9/3/2017 6:45,9/3/2017 6:45,missed call
645,325-139-4088,767-924-6502,3/23/2017 23:24,3/23/2017 23:24,missed call
646,325-139-4088,206-578-3516,7/15/2017 10:54,7/15/2017 10:54,missed call
647,796-387-5648,140-766-7286,12/13/2017 5:25,12/13/2017 5:44,incoming
648,767-924-6502,263-435-6327,7/18/2017 14:35,7/18/2017 14:39,incoming
649,796-387-5648,206-578-3516,3/29/2019 22:36,3/29/2019 23:31,outgoing
650,982-776-6449,930-883-1524,11/28/2018 18:46,11/28/2018 19:10,outgoing
651,796-387-5648,140-766-7286,12/31/2018 18:11,12/31/2018 18:29,incoming
652,796-387-5648,263-435-6327,7/23/2017 21:11,7/23/2017 21:40,incoming
653,325-139-4088,930-883-1524,10/24/2017 16:08,10/24/2017 16:20,incoming
654,767-924-6502,140-766-7286,4/28/2017 19:24,4/28/2017 19:24,missed call
655,982-776-6449,796-387-5648,11/25/2018 2:30,11/25/2018 2:30,missed call
656,796-387-5648,340-659-7071,11/20/2018 8:51,11/20/2018 9:04,outgoing
657,340-659-7071,293-776-2788,10/28/2018 18:22,10/28/2018 19:19,incoming
658,140-766-7286,293-776-2788,1/3/2019 14:52,1/3/2019 14:52,missed call
659,140-766-7286,982-776-6449,11/19/2017 0:17,11/19/2017 0:17,missed call
660,263-435-6327,930-883-1524,3/10/2018 15:35,3/10/2018 16:34,outgoing
661,982-776-6449,796-387-5648,2/7/2018 0:33,2/7/2018 0:33,incoming
662,206-578-3516,263-435-6327,11/1/2018 1:07,11/1/2018 1:43,outgoing
663,293-776-2788,206-578-3516,5/3/2018 14:18,5/3/2018 14:23,incoming
664,263-435-6327,293-776-2788,4/19/2018 3:45,4/19/2018 3:52,incoming
665,340-659-7071,930-883-1524,9/7/2018 13:51,9/7/2018 14:32,incoming
666,796-387-5648,340-659-7071,10/10/2018 19:03,10/10/2018 19:55,outgoing
667,140-766-7286,263-435-6327,2/23/2017 22:20,2/23/2017 22:41,outgoing
668,982-776-6449,206-578-3516,2/27/2019 19:40,2/27/2019 19:40,outgoing
669,767-924-6502,340-659-7071,11/2/2017 20:11,11/2/2017 20:11,missed call
670,263-435-6327,767-924-6502,6/21/2018 8:45,6/21/2018 9:17,incoming
671,293-776-2788,325-139-4088,9/15/2018 21:39,9/15/2018 22:19,outgoing
672,293-776-2788,206-578-3516,9/28/2018 4:21,9/28/2018 4:51,outgoing
673,140-766-7286,325-139-4088,11/16/2017 6:08,11/16/2017 6:08,missed call
674,930-883-1524,263-435-6327,3/16/2019 19:52,3/16/2019 19:52,missed call
675,263-435-6327,293-776-2788,4/14/2017 21:07,4/14/2017 21:16,outgoing
676,325-139-4088,767-924-6502,11/1/2017 5:40,11/1/2017 5:40,missed call
677,293-776-2788,982-776-6449,11/24/2018 10:42,11/24/2018 11:38,outgoing
678,140-766-7286,340-659-7071,2/22/2017 4:24,2/22/2017 4:48,outgoing
679,796-387-5648,930-883-1524,6/7/2018 5:33,6/7/2018 5:33,missed call
680,325-139-4088,293-776-2788,5/25/2019 5:31,5/25/2019 6:28,incoming
681,796-387-5648,340-659-7071,1/5/2019 6:50,1/5/2019 6:50,missed call
682,982-776-6449,340-659-7071,3/30/2018 23:57,3/31/2018 0:15,outgoing
683,796-387-5648,206-578-3516,2/26/2019 10:29,2/26/2019 10:29,missed call
684,206-578-3516,325-139-4088,1/6/2017 13:11,1/6/2017 13:11,missed call
685,796-387-5648,340-659-7071,7/22/2017 15:02,7/22/2017 15:03,outgoing
686,796-387-5648,982-776-6449,5/19/2018 13:36,5/19/2018 14:09,incoming
687,293-776-2788,325-139-4088,5/4/2018 19:08,5/4/2018 19:55,incoming
688,796-387-5648,930-883-1524,4/13/2019 5:57,4/13/2019 6:54,incoming
689,206-578-3516,930-883-1524,6/9/2018 13:10,6/9/2018 13:31,incoming
690,263-435-6327,340-659-7071,5/10/2018 8:37,5/10/2018 8:37,missed call
691,325-139-4088,982-776-6449,1/31/2017 10:11,1/31/2017 10:58,incoming
692,340-659-7071,293-776-2788,8/29/2018 7:28,8/29/2018 8:07,incoming
693,263-435-6327,930-883-1524,6/12/2017 23:13,6/12/2017 23:34,outgoing
694,293-776-2788,340-659-7071,11/16/2018 16:06,11/16/2018 16:50,incoming
695,767-924-6502,263-435-6327,4/12/2018 10:48,4/12/2018 10:48,missed call
696,930-883-1524,206-578-3516,1/24/2018 17:32,1/24/2018 18:27,incoming
697,325-139-4088,796-387-5648,5/21/2017 4:19,5/21/2017 5:18,incoming
698,325-139-4088,796-387-5648,11/4/2017 0:36,11/4/2017 1:15,incoming
699,325-139-4088,982-776-6449,11/23/2017 22:54,11/23/2017 22:54,missed call
700,340-659-7071,140-766-7286,4/6/2018 2:10,4/6/2018 3:07,outgoing
