call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
101,306-378-4644,143-531-4623,5/26/2018 22:49,5/26/2018 23:07,incoming
102,306-378-4644,335-702-9515,1/11/2018 17:51,1/11/2018 18:49,outgoing
103,965-184-6491,846-756-5396,8/18/2018 1:40,8/18/2018 1:50,incoming
104,846-756-5396,306-378-4644,5/19/2019 2:19,5/19/2019 3:03,outgoing
105,143-531-4623,194-638-8390,11/15/2018 19:53,11/15/2018 20:31,incoming
106,143-531-4623,194-638-8390,5/30/2019 9:10,5/30/2019 9:31,incoming
107,232-739-6412,576-444-8440,1/4/2017 23:18,1/4/2017 23:48,outgoing
108,593-792-6975,232-739-6412,10/24/2018 21:26,10/24/2018 21:40,incoming
109,194-638-8390,335-702-9515,11/2/2018 11:11,11/2/2018 12:08,incoming
110,143-531-4623,221-352-4993,9/11/2017 3:43,9/11/2017 4:29,outgoing
111,143-531-4623,335-702-9515,11/9/2017 9:52,11/9/2017 9:52,missed call
112,965-184-6491,306-378-4644,5/29/2019 12:40,5/29/2019 13:00,incoming
113,306-378-4644,335-702-9515,9/14/2018 0:08,9/14/2018 0:08,missed call
114,335-702-9515,221-352-4993,7/15/2017 9:25,7/15/2017 9:43,incoming
115,593-792-6975,221-352-4993,5/30/2018 23:45,5/31/2018 0:38,incoming
116,576-444-8440,306-378-4644,2/14/2017 10:05,2/14/2017 10:53,incoming
117,194-638-8390,221-352-4993,3/15/2017 12:51,3/15/2017 12:51,missed call
118,221-352-4993,306-378-4644,1/31/2018 17:15,1/31/2018 17:15,missed call
119,593-792-6975,232-739-6412,12/28/2017 18:47,12/28/2017 18:47,missed call
120,846-756-5396,143-531-4623,5/20/2017 16:22,5/20/2017 17:13,incoming
121,576-444-8440,143-531-4623,3/17/2019 10:36,3/17/2019 10:36,missed call
122,232-739-6412,194-638-8390,6/28/2017 17:32,6/28/2017 17:32,missed call
123,335-702-9515,306-378-4644,4/18/2019 15:38,4/18/2019 15:38,missed call
124,232-739-6412,143-531-4623,5/23/2018 9:04,5/23/2018 9:31,incoming
125,194-638-8390,335-702-9515,3/24/2018 4:35,3/24/2018 4:52,incoming
126,143-531-4623,221-352-4993,2/26/2019 7:19,2/26/2019 7:30,outgoing
127,965-184-6491,143-531-4623,8/6/2018 20:53,8/6/2018 20:53,missed call
