call_id,phone_number,receiver,starttimestamp,endtimestamp,direction
301,675-142-2320,424-338-1888,2/7/2019 14:38,2/7/2019 14:38,missed call
302,437-443-4548,424-338-1888,12/23/2017 23:37,12/24/2017 0:00,outgoing
303,399-798-9107,675-142-2320,11/8/2017 1:54,11/8/2017 2:29,outgoing
304,399-798-9107,426-342-4940,11/9/2017 12:29,11/9/2017 13:17,incoming
305,424-338-1888,931-318-8690,12/7/2018 20:45,12/7/2018 20:48,incoming
306,381-589-4551,675-142-2320,1/23/2019 3:58,1/23/2019 4:57,outgoing
307,675-142-2320,957-659-2812,3/14/2018 13:55,3/14/2018 14:52,outgoing
308,437-443-4548,426-342-4940,3/5/2017 2:57,3/5/2017 2:57,missed call
309,399-798-9107,675-142-2320,1/3/2019 15:06,1/3/2019 15:56,incoming
310,757-336-8759,424-338-1888,2/14/2019 17:11,2/14/2019 17:11,missed call
311,437-443-4548,426-342-4940,5/14/2019 20:32,5/14/2019 20:32,missed call
312,899-184-9861,437-443-4548,1/23/2017 17:56,1/23/2017 18:31,outgoing
313,957-659-2812,424-338-1888,6/1/2018 9:25,6/1/2018 9:25,missed call
314,675-142-2320,957-659-2812,1/22/2018 4:47,1/22/2018 5:34,incoming
315,757-336-8759,399-798-9107,2/7/2018 11:57,2/7/2018 11:59,incoming
316,426-342-4940,757-336-8759,1/18/2018 17:48,1/18/2018 18:07,incoming
317,426-342-4940,957-659-2812,11/25/2017 17:52,11/25/2017 18:30,outgoing
318,426-342-4940,424-338-1888,12/23/2017 16:55,12/23/2017 17:04,outgoing
319,899-184-9861,426-342-4940,2/4/2018 11:05,2/4/2018 11:52,outgoing
320,757-336-8759,675-142-2320,12/9/2017 1:30,12/9/2017 2:09,outgoing
321,426-342-4940,437-443-4548,1/23/2017 19:02,1/23/2017 19:57,outgoing
322,675-142-2320,931-318-8690,1/7/2019 2:55,1/7/2019 3:19,incoming
323,381-589-4551,675-142-2320,2/24/2017 14:44,2/24/2017 14:44,missed call
